Source,Copyright,Property,Unit,Value
Source: Energy Intelligence,"COPYRIGHT Â© 2001-2025 ENERGY INTELLIGENCE GROUP, INC. / ENERGY INTELLIGENCE GROUP (UK) LIMITED.",Barrels,Per Metric Ton,7.13
,,Gravity,API at 60 F,28.51
,,Mercaptan Sulfur,ppm,28.00
,,Micro Carbon Residue,% Wt,6.52
,,Nickel,ppm,22.13
,,Pour Point,Temp. C,-33.00
,,Reid Vapor Pressure,psi at 37.8 C,6.66
,,Sulfur Content,% Wt,2.21
,,Total Acid Number,Mg KOH/g,0.46
,,Vanadium,ppm,62.24
,,Viscosity,cSt at 20 C,28.88
,,,cSt at 40 C,14.82
,,,cSt at 50 C,11.23
